"Time","Usage for esxilocal.hbmsolutions.mt","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-22T05:55:00.000Z",14.62,2750
"2026-05-22T06:00:00.000Z",15.73,2958
"2026-05-22T06:05:00.000Z",14.98,2817
"2026-05-22T06:10:00.000Z",16.64,3130
"2026-05-22T06:15:00.000Z",15.06,2833
"2026-05-22T06:20:00.000Z",13.61,2560
"2026-05-22T06:25:00.000Z",15.04,2828
"2026-05-22T06:30:00.000Z",19.15,3602
"2026-05-22T06:35:00.000Z",15.01,2823
"2026-05-22T06:40:00.000Z",15.76,2963
"2026-05-22T06:45:00.000Z",14.52,2730
"2026-05-22T06:50:00.000Z",14.51,2729
"2026-05-22T06:55:00.000Z",14.81,2786
"2026-05-22T07:00:00.000Z",14.66,2757
"2026-05-22T07:05:00.000Z",17.21,3236
"2026-05-22T07:10:00.000Z",18.06,3397
"2026-05-22T07:15:00.000Z",28.68,5392
"2026-05-22T07:20:00.000Z",22.7,4269
"2026-05-22T07:25:00.000Z",19.43,3654
"2026-05-22T07:30:00.000Z",18.66,3509
"2026-05-22T07:35:00.000Z",20.25,3809
"2026-05-22T07:40:00.000Z",18.42,3464
"2026-05-22T07:45:00.000Z",18.39,3459
"2026-05-22T07:50:00.000Z",19.06,3584
"2026-05-22T07:55:00.000Z",20.37,3830
"2026-05-22T08:00:00.000Z",20.42,3841
"2026-05-22T08:05:00.000Z",26.56,4994
"2026-05-22T08:10:00.000Z",24.83,4669
"2026-05-22T08:15:00.000Z",22.63,4255
"2026-05-22T08:20:00.000Z",18.84,3543
"2026-05-22T08:25:00.000Z",19.28,3625
"2026-05-22T08:30:00.000Z",13.82,2599
"2026-05-22T08:35:00.000Z",13.19,2481
"2026-05-22T08:40:00.000Z",13.4,2520
"2026-05-22T08:45:00.000Z",13.62,2562
"2026-05-22T08:50:00.000Z",14.12,2656
"2026-05-22T08:55:00.000Z",14.02,2637
"2026-05-22T09:00:00.000Z",13.36,2513
"2026-05-22T09:05:00.000Z",14.7,2765
"2026-05-22T09:10:00.000Z",15.44,2904
"2026-05-22T09:15:00.000Z",15.49,2914
"2026-05-22T09:20:00.000Z",13.58,2554
"2026-05-22T09:25:00.000Z",14.46,2720
"2026-05-22T09:30:00.000Z",13.98,2628
"2026-05-22T09:35:00.000Z",12.73,2395
"2026-05-22T09:40:00.000Z",13.6,2557
"2026-05-22T09:45:00.000Z",13.87,2609
"2026-05-22T09:50:00.000Z",13.64,2565
"2026-05-22T09:55:00.000Z",13.19,2480
"2026-05-22T10:00:00.000Z",13.16,2475
"2026-05-22T10:05:00.000Z",14.32,2693
"2026-05-22T10:10:00.000Z",14.53,2732
"2026-05-22T10:15:00.000Z",14.15,2661
"2026-05-22T10:20:00.000Z",13.47,2532
"2026-05-22T10:25:00.000Z",13.39,2518
"2026-05-22T10:30:00.000Z",19.43,3653
"2026-05-22T10:35:00.000Z",15.81,2972
"2026-05-22T10:40:00.000Z",14.29,2688
"2026-05-22T10:45:00.000Z",13.74,2585
"2026-05-22T10:50:00.000Z",13.15,2472
"2026-05-22T10:55:00.000Z",13.23,2488
"2026-05-22T11:00:00.000Z",13.71,2577
"2026-05-22T11:05:00.000Z",14.46,2720
"2026-05-22T11:10:00.000Z",16.13,3033
"2026-05-22T11:15:00.000Z",16.36,3077
"2026-05-22T11:20:00.000Z",15.25,2868
"2026-05-22T11:25:00.000Z",13.92,2618
"2026-05-22T11:30:00.000Z",13.12,2467
"2026-05-22T11:35:00.000Z",13.94,2621
"2026-05-22T11:40:00.000Z",14.69,2762
"2026-05-22T11:45:00.000Z",13,2445
"2026-05-22T11:50:00.000Z",15.12,2844
"2026-05-22T11:55:00.000Z",13.6,2558
"2026-05-22T12:00:00.000Z",14.53,2733
"2026-05-22T12:05:00.000Z",13.47,2533
"2026-05-22T12:10:00.000Z",14.34,2696
"2026-05-22T12:15:00.000Z",14.29,2687
"2026-05-22T12:20:00.000Z",14.04,2641
"2026-05-22T12:25:00.000Z",13.95,2624
"2026-05-22T12:30:00.000Z",14.06,2645
"2026-05-22T12:35:00.000Z",13.81,2597
"2026-05-22T12:40:00.000Z",13.08,2460
"2026-05-22T12:45:00.000Z",13.26,2494
"2026-05-22T12:50:00.000Z",14.36,2701
"2026-05-22T12:55:00.000Z",12.57,2365
"2026-05-22T13:00:00.000Z",13.35,2511
"2026-05-22T13:05:00.000Z",14.66,2758
"2026-05-22T13:10:00.000Z",15.6,2935
"2026-05-22T13:15:00.000Z",15.29,2876
"2026-05-22T13:20:00.000Z",14.26,2682
"2026-05-22T13:25:00.000Z",14.07,2645
"2026-05-22T13:30:00.000Z",13.52,2543
"2026-05-22T13:35:00.000Z",14.43,2713
"2026-05-22T13:40:00.000Z",13.48,2535
"2026-05-22T13:45:00.000Z",13.3,2500
"2026-05-22T13:50:00.000Z",13.5,2539
"2026-05-22T13:55:00.000Z",13.53,2545
"2026-05-22T14:00:00.000Z",13.59,2556
"2026-05-22T14:05:00.000Z",14.44,2716
"2026-05-22T14:10:00.000Z",15.85,2981
"2026-05-22T14:15:00.000Z",14.93,2807
"2026-05-22T14:20:00.000Z",14.25,2679
"2026-05-22T14:25:00.000Z",14.91,2805
"2026-05-22T14:30:00.000Z",17.77,3342
"2026-05-22T14:35:00.000Z",14.84,2791
"2026-05-22T14:40:00.000Z",13.81,2598
"2026-05-22T14:45:00.000Z",12.58,2367
"2026-05-22T14:50:00.000Z",14.05,2642
"2026-05-22T14:55:00.000Z",13.16,2476
"2026-05-22T15:00:00.000Z",14.03,2639
"2026-05-22T15:05:00.000Z",13.35,2511
"2026-05-22T15:10:00.000Z",15.22,2862
"2026-05-22T15:15:00.000Z",14.55,2737
"2026-05-22T15:20:00.000Z",13.42,2525
